abond3m,abond6m,abond1y,abond2y,abond3y,abond5y,abond10y,bond3m,bond6m,bond1y,bond2y,bond3y,bond5y,bond10y
0.5,0.61,0.811,1.188,1.451,1.927,2.444,1.32,1.45,1.562,1.635,1.64,1.807,2.092
0.51,0.63,0.759,1.204,1.462,1.913,2.453,1.29,1.38,1.493,1.632,1.672,1.85,2.155
0.6,0.74,0.821,1.26,1.519,1.929,2.39,1.28,1.35,1.453,1.6,1.667,1.852,2.157
0.75,0.9,1.016,1.254,1.489,1.921,2.387,1.31,1.38,1.464,1.584,1.67,1.852,2.187
0.79,0.97,1.058,1.262,1.443,1.814,2.28,1.31,1.36,1.449,1.578,1.67,1.862,2.192
0.97,1.07,1.15,1.282,1.432,1.752,2.203,1.27,1.32,1.449,1.571,1.667,1.89,2.237
1.01,1.13,1.228,1.382,1.546,1.888,2.304,1.3,1.33,1.465,1.633,1.7,1.902,2.212
1.07,1.13,1.212,1.349,1.508,1.836,2.294,1.25,1.28,1.399,1.615,1.72,1.925,2.227
0.99,1.07,1.217,1.326,1.427,1.702,2.117,1.25,1.29,1.466,1.662,1.747,1.967,2.267
1.04,1.19,1.289,1.483,1.623,1.936,2.334,1.28,1.35,1.529,1.789,1.887,2.077,2.37
1.13,1.28,1.421,1.6,1.726,2.017,2.379,1.36,1.51,1.814,2.102,2.17,2.402,2.575
1.26,1.44,1.607,1.782,1.892,2.138,2.41,1.51,1.61,1.841,1.993,2.073,2.262,2.477
1.38,1.53,1.732,1.883,1.971,2.206,2.405,1.51,1.63,1.853,2.082,2.134,2.347,2.467
1.46,1.65,1.882,2.141,2.283,2.514,2.705,1.51,1.57,1.84,2.193,2.27,2.566,2.77
1.65,1.85,2.056,2.25,2.407,2.64,2.861,1.51,1.58,1.835,2.131,2.265,2.517,2.735
1.7,1.91,2.082,2.266,2.383,2.562,2.739,1.52,1.64,1.889,2.096,2.217,2.425,2.622
1.8,2,2.234,2.488,2.626,2.797,2.953,1.53,1.66,1.845,2.083,2.217,2.49,2.717
1.89,2.08,2.223,2.427,2.55,2.696,2.859,1.55,1.67,1.849,2.082,2.195,2.477,2.695
1.91,2.1,2.312,2.528,2.622,2.738,2.86,1.58,1.65,1.846,2.029,2.122,2.351,2.555
2.02,2.19,2.409,2.669,2.766,2.848,2.96,1.58,1.66,1.825,2.03,2.125,2.362,2.57
2.09,2.26,2.447,2.627,2.691,2.738,2.86,1.54,1.61,1.725,1.803,1.91,2.102,2.31
2.2,2.36,2.563,2.819,2.883,2.953,3.061,1.57,1.66,1.845,1.929,2.002,2.175,2.355
2.33,2.49,2.655,2.867,2.925,2.975,3.144,1.62,1.74,1.803,1.91,1.942,2.075,2.245
2.34,2.52,2.678,2.787,2.8,2.813,2.988,1.75,1.77,1.806,1.88,1.895,1.975,2.11
2.35,2.48,2.596,2.488,2.456,2.511,2.684,1.75,1.75,1.751,1.835,1.823,1.892,1.956
2.38,2.45,2.544,2.458,2.434,2.437,2.629,1.76,1.77,1.773,1.807,1.81,1.885,1.997
2.43,2.49,2.536,2.514,2.494,2.512,2.715,1.75,1.76,1.772,1.828,1.812,1.88,1.985
